Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Urban Park Rangers,General Public,09/10/2020 01:15:00 PM,Brooklyn,Park,Marine Park,Park Stewardship: Phragmites Removal,Community Based Event,Nature,Summer 2020,4,General Public
Recreation,Kiara Harris,09/06/2020 10:00:00 AM,Manhattan,Park,Thomas Jefferson Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,10,Children;#Young Adult;#Teens;#Tot
Urban Park Rangers,General Public,09/10/2020 01:50:00 PM,Queens,Park,Baisley Pond Park,Ducks vs Geese,Community Based Event,Nature,Summer 2020,3,General Public
Recreation,Council Mamber Kallos,06/02/2018 08:30:00 PM,Manhattan,Playground,Samuel Seabury Playground,Movies Under the Stars: Deep,Community Based Event,Mobile Unit,Movies,107,General Public
Recreation,Jazz Foundation of America,04/05/2018 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,AC&F Jazz Concert,Community Based Event,Performance,AC&F,45,General Public
Urban Park Rangers,General Public,09/10/2020 02:50:00 PM,Staten Island,Park,Clove Lakes Park,Squirrely Mghee,Community Based Event,Nature,Summer 2020,6,General Public
Urban Park Rangers,General Public,09/10/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Bug-o-rama!,Community Based Event,Nature,Summer 2020,29,General Public
Urban Park Rangers,general public,09/11/2020 11:10:00 AM,Queens,Park,Elmhurst Park,Ranger Says Raccoons,Community Based Event,Nature,Summer 2020,8,General Public
Recreation,,09/11/2020 07:30:00 AM,Bronx,Recreation Center,St. James Recreation Center,HIIT Circuit Fitness,Open House,Fitness,Summer 2020,7,Young Adult;#Adults;#Seniors
Recreation,ADAPT Community Services Nate Vaky,09/11/2020 11:00:00 AM,Bronx,Other,Virtual Poe,Special Express Writers Anthology,Agency Produced Event,Arts/Culture,Summer 2020,9,Young Adult;#Adults
Recreation,,09/11/2020 12:00:00 AM,Bronx,Park,Poe Park,Art in the Park,Community Based Event,Arts/Culture,Summer 2020,4,Tot;#Children;#Teens
Recreation,,09/11/2020 11:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Bingo,Local Event,Arts/Culture,Summer 2020,0,Seniors
Recreation,,09/10/2020 11:00:00 AM,Bronx,Park,Poe Park,Art in the Park,Community Based Event,Arts/Culture,Summer 2020,0,Tot;#Children;#Teens
Urban Park Rangers,General Public,09/10/2020 02:00:00 PM,Staten Island,Park,Allison Pond Park,Pond Ecology,Community Based Event,Nature,Summer 2020,0,General Public
Urban Park Rangers,General Public,09/11/2020 02:00:00 PM,Staten Island,Park,Clove Lakes Park,Ranger Trivia,Community Based Event,Nature,Summer 2020,3,General Public
Recreation,,04/13/2018 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Fittness Challange,Community Based Event,Fitness,Fitness,70,General Public
Urban Park Rangers,General Public,09/11/2020 02:00:00 PM,Brooklyn,Park,Bush Terminal Park,Masks and chalk,Community Based Event,Arts/Culture,Summer 2020,4,General Public
Urban Park Rangers,General Public,09/11/2020 02:00:00 PM,Bronx,Park,Pelham Bay Park,Backyard Bass,Agency Produced Event,Nature,Summer 2020,12,Tot;#Children
Urban Park Rangers,Jamaica Bay-Rockaway Park Conservancy,09/12/2020 01:00:00 PM,Queens,Park,Bayswater Park,3rd Annual Jamaica Bay Festival/City of Water Day,Community Based Event,Nature,Summer 2020,25,General Public
Urban Park Rangers,General public,09/11/2020 02:00:00 PM,Queens,Park,Forest Park,Ranger Says Let's Go Fishing,Community Based Event,Nature,Summer 2020,9,General Public
Urban Park Rangers,General Public,09/12/2020 10:00:00 AM,Manhattan,Park,Inwood Hill Park,What Do Rangers Do?,Local Event,Nature,Summer 2020,15,General Public
Urban Park Rangers,general public,09/12/2020 02:00:00 PM,Manhattan,Park,Central Park,What are ya'll doing; a hummingbird and fishing line pop up,Community Based Event,Nature,Summer 2020,18,General Public
Urban Park Rangers,General Public,09/12/2020 02:00:00 PM,Staten Island,Park,Blue Heron Park,Firebuilding Fun Done Safely,Community Based Event,Nature,Summer 2020,12,General Public
Urban Park Rangers,General Public,09/11/2020 01:15:00 PM,Manhattan,Park,Central Park,"Fishing is fine, but be smart with your line!",Community Based Event,Nature,Summer 2020,16,General Public
Urban Park Rangers,General Public,09/12/2020 04:50:00 PM,Manhattan,Playground,Blake Hobbs Playground,Migratory Birds and Unfortuante Ends,Community Based Event,Nature,Summer 2020,6,General Public
Urban Park Rangers,General Public,09/12/2020 11:30:00 AM,Manhattan,Park,John V. Lindsay East River Park,Coastal Clean-Up,Community Based Event,Nature,Summer 2020,10,General Public
Recreation,Jazz Foundation of America,04/18/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,33,General Public
Urban Park Rangers,General Public,09/12/2020 02:00:00 PM,Manhattan,Park,Central Park,That is a Rat and a Squirrel under Your Stroller,Community Based Event,Nature,Summer 2020,18,General Public
Urban Park Rangers,General Public,09/12/2020 02:00:00 PM,Brooklyn,Park,Scarangella Park,Feets of Strength!,Community Based Event,Nature,Summer 2020,2,Children
Urban Park Rangers,General Public,09/13/2020 11:00:00 AM,Brooklyn,Park,Paerdegat Park,Bug Hunt,Community Based Event,Nature,Summer 2020,8,General Public
Urban Park Rangers,General Public,09/13/2020 11:00:00 AM,Staten Island,Park,Willowbrook Park,Bug Out with Urban Park Rangers,Community Based Event,Nature,Summer 2020,56,Tot;#General Public;#Adults;#Teens;#Children
Urban Park Rangers,Public,09/13/2020 03:00:00 PM,Manhattan,Park,Morningside Park,Something's Fishy @ Morningside Park,Community Based Event,Nature,Summer 2020,27,General Public
Urban Park Rangers,General Public,09/13/2020 02:45:00 PM,Queens,Park,Cunningham Park,Nature Scavenger Hunt,Community Based Event,Nature,Summer 2020,19,General Public
Urban Park Rangers,General Public,09/13/2020 01:50:00 PM,Bronx,Park,St. Mary's Park,Turtle Time!,Community Based Event,Nature,Summer 2020,18,Children;#General Public;#Adults
Urban Park Rangers,General Public,09/13/2020 02:30:00 PM,Bronx,Playground,Fountain Of Youth Playground,Turtle Time!,Community Based Event,Nature,Summer 2020,8,Tot;#Children;#Adults;#General Public
Urban Park Rangers,General Public,09/13/2020 11:30:00 AM,Queens,Playground,Al Mauro Playground,Storytime!,Community Based Event,Nature,Summer 2020,10,General Public
Urban Park Rangers,General Public,09/14/2020 11:00:00 AM,Brooklyn,Park,Marine Park,Building the Triangle Garden,Community Based Event,Nature,Summer 2020,1,General Public
Recreation,,04/12/2018 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Tea Social at ""The Pelham""",Community Based Event,Arts/Culture,Lecture/Panel/Talk,30,Adults;#Seniors;#Adaptive
Urban Park Rangers,Public,09/13/2020 12:15:00 AM,Manhattan,Park,St. Nicholas Park,Something's Fishy @ St. Nicholas Park,Community Based Event,Nature,Summer 2020,6,General Public
Urban Park Rangers,General Public,09/13/2020 02:45:00 PM,Queens,Park,Cunningham Park,Animal Meet and Greet,Community Based Event,Nature,Summer 2020,13,General Public
Recreation,,08/28/2020 09:00:00 AM,Bronx,Park,Van Cortlandt Park,Hiking,Community Based Event,Fitness,Summer 2020,4,Seniors
Urban Park Rangers,General Public,09/14/2020 02:00:00 PM,Bronx,Park,Van Cortlandt Park,Nature Hike,Community Based Event,Nature,Summer 2020,16,Children;#Tot;#Adults;#Seniors;#General Public
Recreation,,09/03/2020 03:30:00 PM,Bronx,Park,Williamsbridge Oval Park,Sports Drills,Community Based Event,Sport,Summer 2020,7,Children
Recreation,Carl Antoine,08/27/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Senior Pickleball,Community Based Event,Sport,Summer 2020,6,Seniors
Recreation,Carl Antoine,08/27/2020 03:30:00 PM,Bronx,Park,Williamsbridge Oval Park,Sports Drills,Community Based Event,Sport,Summer 2020,3,Children
Recreation,,09/01/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Pickle Ball,Community Based Event,Sport,Summer 2020,6,Seniors
Recreation,,09/01/2020 03:30:00 PM,Bronx,Park,Williamsbridge Oval Park,Sports Drills,Community Based Event,Sport,Summer 2020,6,Children
Recreation,,09/04/2020 09:00:00 AM,Bronx,Park,Van Cortlandt Park,Hiking,Community Based Event,Fitness,Summer 2020,4,Seniors
Recreation,,04/14/2017 12:00:00 PM,Brooklyn,Recreation Center,McCarren Play Center,Tots Easter Egg Hunt,Local Event,Fitness,Play,78,Tot;#Children
Recreation,,09/14/2020 02:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,Paint With Me,Community Based Event,Arts/Culture,Summer 2020,0,Children
Recreation,,09/03/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Pickleball,Community Based Event,Sport,Summer 2020,6,Seniors
Recreation,,09/08/2020 03:30:00 PM,Bronx,Park,Williamsbridge Oval Park,Sports Drills,Community Based Event,Sport,Summer 2020,8,Children
Recreation,,09/10/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Pickle Ball,Community Based Event,Sport,Summer 2020,0,Seniors
Recreation,,09/10/2020 03:30:00 PM,Bronx,Park,Williamsbridge Oval Park,Sports Drills,Community Based Event,Sport,Summer 2020,0,Children
Recreation,,09/11/2020 09:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Hiking,Community Based Event,Fitness,Summer 2020,3,Seniors
Recreation,,09/08/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,PickleBall,Community Based Event,Sport,Summer 2020,6,Seniors
Urban Park Rangers,General Public,09/14/2020 11:36:00 AM,Queens,Playground,Van Alst Playground,Storytime!,Community Based Event,Nature,Summer 2020,8,General Public
Urban Park Rangers,General Public,09/14/2020 02:06:00 PM,Queens,Park,St. Albans Park,Storytime!,Community Based Event,Nature,Summer 2020,9,General Public
Urban Park Rangers,Public,09/14/2020 02:10:00 PM,Manhattan,Park,Tompkins Square Park,Buggin out,Community Based Event,Nature,Summer 2020,49,General Public
Recreation,Jazz Foundation of America,04/12/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,30,General Public
Recreation,,09/14/2020 03:30:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Youth Meets,Community Based Event,Arts/Culture,,16,Tot;#Children
Urban Park Rangers,General Public,09/15/2020 02:00:00 PM,Brooklyn,Park,Prospect Park,Migrating Warblers,Community Based Event,Nature,Summer 2020,3,General Public
Urban Park Rangers,General Public,09/15/2020 12:00:00 PM,Manhattan,Park,Ruppert Park,NYC Nature Dectectives on the Scene!,Community Based Event,Nature,Summer 2020,11,General Public
Urban Park Rangers,General Public,09/15/2020 01:40:00 PM,Bronx,Playground,Ben Abrams Playground,Ranger Games and Stick Bug Fun,Agency Produced Event,Nature,Summer 2020,11,Tot;#Children;#Adults;#General Public
Recreation,ACF Ian Gabrielle,09/15/2020 11:00:00 AM,Bronx,Park,Poe Park,ACF Art in the Park,Agency Produced Event,Arts/Culture,Summer 2020,35,Children
Recreation,,09/15/2020 02:00:00 PM,Staten Island,Park,DeMatti Playground,Sports Drills,Community Based Event,Fitness,Summer 2020,4,Tot;#Children;#Teens
Urban Park Rangers,General Public,09/15/2020 02:00:00 PM,Bronx,Playground,Brady Playground,Ranger Games and Stick Bug Fun,Agency Produced Event,Nature,Summer 2020,8,Tot;#Children;#Adults;#General Public
Urban Park Rangers,General Public,09/15/2020 03:00:00 PM,Queens,Park,Elmhurst Park,Nature Scavenger Hunt,Community Based Event,Nature,Summer 2020,15,General Public
Recreation,,09/15/2020 11:00:00 AM,Staten Island,Park,DeMatti Playground,Fit Kids,Community Based Event,Fitness,Summer 2020,3,Tot;#Children;#Teens
Urban Park Rangers,General Public,09/15/2020 02:00:00 PM,Staten Island,Park,The Big Park,Buggin' Out with Urban Park Rangers,Community Based Event,Nature,Summer 2020,10,Children;#Teens
Recreation,,04/21/2018 09:00:00 AM,Manhattan,Other,"Broadway, Times Square, Union Square",Car Free Earth Day,Community Based Event,Academic/Out of School time,,,General Public
Urban Park Rangers,General Public,09/15/2020 11:00:00 AM,Brooklyn,Park,Maria Hernandez Park,Hawk Watch,Community Based Event,Nature,Summer 2020,5,General Public
Recreation,,09/15/2020 12:00:00 PM,Staten Island,Park,DeMatti Playground,Hula Hoop Fitness,Community Based Event,Fitness,Summer 2020,4,Tot;#Children;#Teens
Recreation,,09/15/2020 03:00:00 PM,Staten Island,Park,DeMatti Playground,Arts and Crafts,Community Based Event,Arts/Culture,Summer 2020,6,Tot;#Children;#Teens
Urban Park Rangers,General Public,09/15/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Inwood Gardening,Local Event,Nature,Summer 2020,0,General Public
Recreation,Jeslyn Galarza,09/14/2020 10:00:00 AM,Bronx,Other,St. Mary's Parking Lot,Trap and Spin,Open House,Fitness,Fitness,0,Adults;#Young Adult;#Seniors
Recreation,Jeslyn Galarza,09/15/2020 03:00:00 PM,Bronx,Playground,St. Mary's Park West,Hip Hop and Jazz,Open House,Performance,Dance,0,Teens;#Children
Urban Park Rangers,General Public,09/15/2020 12:27:00 PM,Queens,Playground,Al Mauro Playground,Storytime!,Community Based Event,Nature,Summer 2020,11,General Public
Urban Park Rangers,General Public,09/15/2020 03:22:00 PM,Queens,Playground,Newtown Playground,Animal Show and Tell,Community Based Event,Nature,Summer 2020,15,General Public
Urban Park Rangers,General Public,09/15/2020 11:29:00 AM,Queens,Park,Kissena Park,Storytime!,Community Based Event,Nature,Summer 2020,2,General Public
Urban Park Rangers,General Public,09/15/2020 04:30:00 PM,Manhattan,Park,Seward Park,Signs of a Garden,Community Based Event,Nature,Summer 2020,3,General Public
Recreation,The Public Theater,04/20/2018 06:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Henry V,Community Based Event,Arts/Culture,Play,94,General Public
Recreation,,09/15/2020 11:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,toddler Adventure,Community Based Event,Arts/Culture,Summer 2020,0,Tot
Urban Park Rangers,General Public,09/08/2020 01:20:00 PM,Manhattan,Park,Randall's Island Park,Hello Hellgate Salt Marsh,Community Based Event,Nature,Summer 2020,11,General Public
Recreation,,09/16/2020 07:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Spin for Life,Community Based Event,Fitness,Summer 2020,23,General Public
Recreation,,09/08/2020 11:00:00 AM,Queens,Playground,Corona Golf Playground,Kids in Motion,Community Based Event,KIM,Summer 2020,17,Tot;#Children;#General Public
Recreation,,09/11/2020 11:00:00 AM,Queens,Playground,Corona Golf Playground,Kids in Motion,Community Based Event,KIM,Summer 2020,21,Tot;#Children;#General Public
Recreation,,09/02/2020 11:00:00 AM,Queens,Playground,Hoover - Manton Playgrounds,Art Workshop,Community Based Event,KIM,Summer 2020,45,Children;#Tot;#General Public
Recreation,,09/10/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Spin,Community Based Event,Fitness,Summer 2020,23,Adults;#Teens;#Young Adult;#General Public
Recreation,,09/01/2020 11:00:00 AM,Queens,Playground,Hoover - Manton Playgrounds,Kids in Motion,Community Based Event,KIM,Summer 2020,47,Children;#Tot;#General Public
Recreation,,09/08/2020 11:00:00 AM,Queens,Playground,Hoover - Manton Playgrounds,Kids in Motion,Community Based Event,KIM,Summer 2020,33,Tot;#Children;#General Public
Recreation,,09/11/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Spin,Community Based Event,Fitness,Summer 2020,17,Young Adult;#Adults;#General Public
Recreation,Jazz Foundation of America,04/21/2018 10:00:00 AM,Manhattan,Park,Ruppert Park,Jazz Concert,Community Based Event,Arts/Culture,Music,35,General Public
Recreation,,09/08/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Boot Camp,Community Based Event,Fitness,Summer 2020,5,Adults;#Young Adult;#General Public
Recreation,,09/10/2020 11:00:00 AM,Queens,Playground,Corona Golf Playground,Kids in Motion,Community Based Event,KIM,Summer 2020,0,Tot;#Children;#General Public
Recreation,,08/31/2020 11:00:00 AM,Queens,Playground,Hoover - Manton Playgrounds,Kids in Motion,Community Based Event,KIM,Summer 2020,64,Tot;#Children;#General Public
Recreation,,09/09/2020 11:00:00 AM,Queens,Playground,Hoover - Manton Playgrounds,Kids in Motion,Community Based Event,KIM,Summer 2020,40,Tot;#Children;#General Public
Recreation,,09/08/2020 11:00:00 AM,Queens,Park,St. Albans Park,Kids in Motion,Community Based Event,KIM,Summer 2020,6,Tot;#Children;#General Public
Recreation,,09/08/2020 11:00:00 AM,Queens,Park,Queensbridge Park,Kids in Motion,Community Based Event,KIM,Summer 2020,29,Tot;#Children;#General Public
Recreation,,09/09/2020 11:00:00 AM,Queens,Park,Hunter's Point South Park,Kids in Motion,Community Based Event,KIM,Summer 2020,130,Tot;#Children;#General Public
Recreation,,09/01/2020 11:00:00 AM,Queens,Park,St. Albans Park,Kids in Motion,Community Based Event,KIM,Summer 2020,6,Children;#Tot;#General Public
Recreation,,09/04/2020 11:00:00 AM,Queens,Park,St. Albans Park,Kids in Motion,Community Based Event,KIM,Summer 2020,8,Tot;#Children;#General Public
Recreation,,08/31/2020 11:00:00 AM,Queens,Park,Bayswater Park,Kids in Motion,Community Based Event,KIM,Summer 2020,3,Tot;#Children;#General Public
Recreation,,04/20/2018 04:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Earth Day - Park Walkthrough,Community Based Event,Fitness,Fitness,40,General Public
Recreation,,09/03/2020 11:00:00 AM,Queens,Park,Detective Keith L Williams Park,Summer Sports Experience,Community Based Event,Sport,Summer 2020,4,Tot;#Children;#General Public
Recreation,,09/04/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Summer Sports Experience,Community Based Event,Sport,Summer 2020,10,Tot;#Children;#General Public
Recreation,,09/02/2020 11:00:00 AM,Queens,Park,Juniper Valley Park,Summer Sports Experience,Community Based Event,Sport,Summer 2020,11,Tot;#Children;#General Public
Recreation,,09/05/2020 11:00:00 AM,Queens,Park,Kissena Park,Summer Sports Experience,Community Based Event,Sport,Summer 2020,13,Tot;#Children;#General Public
Urban Park Rangers,General public,09/16/2020 12:00:00 PM,Queens,Other,Rockaway Beach and Boardwalk,Beach Birds and Butterflies,Community Based Event,Nature,Summer 2020,9,General Public
Recreation,,09/11/2020 11:00:00 AM,Queens,Park,Astoria Heights Park,Kids in Motion Pop-Up,Community Based Event,KIM,Summer 2020,76,Tot;#Children;#General Public
,,05/07/2022 08:00:00 PM,Manhattan,,Bloomingdale Playground,Movies Under the Stars: Soul,,Mobile Unit,M.U.T.S,,
Recreation,,08/20/2020 05:00:00 PM,Queens,Park,Beach 17th Street,Art Workshop,Community Based Event,Arts/Culture,Summer 2020,7,Tot;#General Public;#Children
Recreation,,08/27/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Kids in Motion,Community Based Event,KIM,Summer 2020,2,Tot;#Children;#General Public
Recreation,,08/18/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Boot Camp,Community Based Event,Fitness,Summer 2020,2,General Public;#Adults;#Young Adult
Recreation,,09/27/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Spin,Community Based Event,Fitness,Summer 2020,9,Young Adult;#Adults;#General Public
Recreation,,05/12/2018 09:00:00 AM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Borough President Event,Community Based Event,Mobile Unit,Play,30,Children;#Young Adult;#Adults
Recreation,PEP,04/18/2018 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Astronomy Stargazing and Talk,Community Based Event,Academic/Out of School time,Lecture/Panel/Talk,35,General Public
Recreation,,08/21/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Kids in Motion,Community Based Event,KIM,Summer 2020,11,Children;#Tot;#General Public
Recreation,,08/20/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Kids in Motion,Community Based Event,KIM,Summer 2020,5,Tot;#Children;#General Public
Recreation,,09/10/2020 11:00:00 AM,Queens,Playground,Corona Golf Playground,Kids in Motion,Community Based Event,KIM,Summer 2020,0,Tot;#Children;#General Public
Recreation,,08/25/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Kids in Motion,Community Based Event,KIM,Summer 2020,20,Tot;#Children;#General Public
Urban Park Rangers,General Public,09/16/2020 12:00:00 PM,Manhattan,Park,Union Square Park,What Do I Do if the Skunk Comes Down the Slde?,Community Based Event,Nature,Summer 2020,20,General Public
Recreation,,09/01/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Kids in Motion,Community Based Event,KIM,Summer 2020,13,Tot;#Children;#General Public
Urban Park Rangers,General Public,09/16/2020 02:00:00 PM,Bronx,Park,Soundview Park,Stick Bug Fun,Community Based Event,Nature,Summer 2020,7,Children;#Adults;#Tot;#General Public
Recreation,,08/27/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Spin,Community Based Event,Fitness,Summer 2020,17,Adults;#Young Adult
Urban Park Rangers,General Public,09/16/2020 04:20:00 PM,Manhattan,Park,Central Park,Herons Fish Too,Community Based Event,Nature,Summer 2020,11,General Public
Urban Park Rangers,public,09/16/2020 02:45:00 PM,Manhattan,Park,Morningside Park,Buggin Out,Community Based Event,Nature,Summer 2020,28,General Public
Recreation,,04/21/2018 09:30:00 AM,Manhattan,Recreation Center,Recreation Center 54,Back to Nature: Recycle Repurpose and Reuse,Community Based Event,Academic/Out of School time,,25,General Public
Urban Park Rangers,General Public,09/16/2020 02:00:00 PM,Staten Island,Nature Center,Greenbelt Nature Center,Hiking is a Walk in the Park,Community Based Event,Nature,Summer 2020,3,General Public
Recreation,,09/03/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Fitness,Community Based Event,Fitness,Summer 2020,14,Children;#Young Adult;#General Public
Urban Park Rangers,General Public,09/16/2020 02:00:00 PM,Queens,Park,Queensbridge Park,Backyard Bass,Community Based Event,Nature,Summer 2020,2,General Public
Urban Park Rangers,General Public,09/16/2020 02:42:00 PM,Staten Island,Park,Wolfe's Pond Park,Beach Scavenger Hunt,Community Based Event,Nature,Summer 2020,12,Children;#General Public
Urban Park Rangers,General Public,09/16/2020 02:15:00 PM,Manhattan,Park,Morningside Park,Turtles on the Rocks,Community Based Event,Nature,Summer 2020,12,General Public
Recreation,,09/16/2020 12:00:00 AM,Bronx,Park,Williamsbridge Oval,Circuit Training,Community Based Event,Fitness,Summer 2020,0,Adults;#Seniors
Urban Park Rangers,Public,09/17/2020 02:00:00 PM,Manhattan,Park,Fort Tryon Park,Mammals of Ft. Tryon,Community Based Event,Nature,Summer 2020,33,General Public
Urban Park Rangers,General Public,09/16/2020 02:30:00 PM,Brooklyn,Park,Grand Ferry Park,Nature Walk,Community Based Event,Nature,Summer 2020,3,General Public
Recreation,Daniel Colonna,09/09/2020 10:30:00 AM,Manhattan,Park,Thomas Jefferson Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,11,Children;#Tot;#Teens
Recreation,Zuleika Diaz,08/28/2020 10:30:00 AM,Manhattan,Playground,Anne Loftus Playground,KIM Outdoor programming,Community Based Event,KIM,Summer 2020,5,Children;#Tot;#Teens
Recreation,,04/24/2018 03:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Earth Day: Recycling,Community Based Event,Academic/Out of School time,,15,General Public
Recreation,Zuleika Diaz,09/08/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,5,Children;#Tot;#Teens
Recreation,Ricardo Sanchez,09/09/2020 10:30:00 AM,Manhattan,Park,Columbus Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,6,Children;#Tot;#Teens
Recreation,Zuleika Diaz,08/21/2020 10:30:00 AM,Manhattan,Playground,Anne Loftus Playground,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,5,Children;#Tot;#Teens
Recreation,Yadiel Arce,09/10/2020 10:30:00 AM,Manhattan,Park,Carmansville Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,0,Children;#Tot;#Teens
Recreation,Ricardo Sanchez,08/27/2020 10:30:00 AM,Manhattan,Park,Columbus Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,3,Children;#Tot;#Teens
Recreation,Yadiel Arce,09/08/2020 10:30:00 AM,Manhattan,Park,Carmansville Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,8,Children;#Tot;#Teens
Urban Park Rangers,General Public,09/17/2020 02:15:00 PM,Queens,Park,Baisley Pond Park,Pond Life,Community Based Event,Nature,Summer 2020,5,General Public
Urban Park Rangers,General Public/Snug Harbor Cultural Center,09/17/2020 09:30:00 AM,Staten Island,Park,Snug Harbor Cultural Center & Botanical Garden,How Can You Be a Park Steward?,Community Based Event,Nature,Summer 2020,55,General Public
Recreation,Yadiel Arce,09/15/2020 10:30:00 AM,Manhattan,Park,Carmansville Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,6,Children;#Tot;#Teens
Recreation,Kiegan Albert,09/17/2020 10:30:00 AM,Manhattan,Park,Carmansville Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,5,Teens;#Children;#Tot
Recreation,,04/22/2018 11:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By... Takashi Murakami,Agency Produced Event,Arts/Culture,,16,General Public
Urban Park Rangers,General Public,09/17/2020 02:55:00 PM,Staten Island,Park,Schmul Park,Raccoons don't eat that,Community Based Event,Nature,Summer 2020,9,General Public
Urban Park Rangers,General Public,09/17/2020 03:00:00 PM,Staten Island,Playground,Jennifer's Playground,Ranger Trivia,Community Based Event,Nature,Summer 2020,9,General Public
Urban Park Rangers,General Public,09/17/2020 03:48:00 PM,Staten Island,Park,Conference House Park,Deer don't eat that either,Community Based Event,Nature,Summer 2020,21,General Public
Recreation,ACF,09/17/2020 12:00:00 PM,Bronx,Park,Mullaly Park,ACF Collage Workshop,Agency Produced Event,Arts/Culture,Summer 2020,4,Children
Urban Park Rangers,General Public,09/18/2020 11:00:00 AM,Queens,Park,Elmhurst Park,Fishing Challenge,Community Based Event,Nature,Summer 2020,6,General Public
Recreation,ADAPT Community Services Nate Vaky,09/18/2020 11:00:00 AM,Bronx,Other,Virtual Poe Park VC,Special Express Writers Anthology,Agency Produced Event,Arts/Culture,Summer 2020,6,Adults;#Young Adult
Urban Park Rangers,General Public,09/18/2020 10:00:00 AM,Manhattan,Park,Inwood Hill Park,Raccoon Outreach,Local Event,Nature,Summer 2020,6,General Public
Urban Park Rangers,General Public,09/17/2020 11:00:00 AM,Manhattan,Park,Tompkins Square Park,Tompkins Square Park History,Community Based Event,Nature,Summer 2020,8,General Public
Urban Park Rangers,General Public,09/18/2020 02:00:00 PM,Queens,Park,Forest Park,Sergeant Says,Community Based Event,Nature,Summer 2020,7,General Public
Urban Park Rangers,General Public,09/19/2020 11:00:00 AM,Brooklyn,Park,Marine Park,Bugs and Butterflies,Community Based Event,Nature,Summer 2020,30,Children;#Adults;#General Public
Recreation,,04/28/2018 11:00:00 AM,Manhattan,Park,Thomas Jefferson Park,Street Games,Community Based Event,Fitness,,,General Public
Urban Park Rangers,General Public,09/18/2020 10:00:00 AM,Manhattan,Park,Riverside Park,On the Fence about Raccoons,Community Based Event,Nature,Summer 2020,18,General Public
Urban Park Rangers,General Public,09/18/2020 02:00:00 PM,Brooklyn,Park,Sunset Park,Animals and Trees,Community Based Event,Nature,Summer 2020,7,General Public
Recreation,,09/17/2020 10:30:00 AM,Manhattan,Park,Sara D. Roosevelt Park,Arts Culture & Fun,Local Event,Arts/Culture,AC&F,15,General Public
