Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,,06/08/2019 09:00:00 AM,Queens,Park,Roy Wilkins Park,Queens Recreation Pickleball Tournament,Tournament/Competition,Sport,Tier 3,100,Seniors;#Adults
Recreation,,06/15/2019 08:00:00 PM,Bronx,Playground,Playground 52 LII,Spider-Man: Into the Spider-Verse,Community Based Event,Mobile Unit,M.U.T.S,95,General Public
Recreation,Partnership for Parks,06/15/2019 11:00:00 AM,Queens,Park,Astoria Heights Playground,,Community Based Event,Mobile Unit,Play,75,General Public
Recreation,,06/14/2019 08:00:00 PM,Bronx,Park,Joyce Kilmer Park,Ant Man & the Wasp,Community Based Event,Mobile Unit,M.U.T.S,30,General Public
Recreation,CM Kozlowitz,06/15/2019 08:30:00 PM,Queens,Playground,Ehrenreich-Austin Playground,Spider-Man: Into the Spiderverse,Community Based Event,Mobile Unit,M.U.T.S,130,General Public
Recreation,MUTS,06/13/2019 08:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Pride Movie Series: Too Wong Fu,Community Based Event,Arts/Culture,M.U.T.S,55,Young Adult;#Adults;#Seniors;#General Public
Recreation,,06/20/2019 08:15:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,"Pride Movie Series: The Adventures of Priscilla, Queen of the Desert",Community Based Event,Arts/Culture,,23,Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive
Recreation,Jonathan Adone,08/28/2020 10:00:00 AM,Brooklyn,Park,Leif Ericson Park,Pick UP Pickleball,Local Event,Fitness,Summer 2020,20,Seniors
Urban Park Rangers,Office of Commissioner of Iris Rodriguez Rosa,06/19/2019 12:00:00 AM,Bronx,Playground,Hunts Point Playground,Hunts Point Playground Ribbon Cutting,Community Based Event,Nature,,30,Children
Recreation,,06/16/2018 08:30:00 PM,Queens,Playground,Electric Playground,MUTS - Moana,Community Based Event,Mobile Unit,Movies,138,General Public
Recreation,,06/09/2019 12:00:00 AM,Brooklyn,Park,Bushwick Inlet Park,Bohemian Rhapsody(2018),Community Based Event,Mobile Unit,M.U.T.S,302,General Public
Recreation,Friends of Beach 59th Street,06/22/2019 11:00:00 AM,Queens,Playground,Beach 59th St Playground,fabulous fitness,Community Based Event,Mobile Unit,Play,66,General Public
Recreation,MUTS,06/19/2019 08:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Pride Movie Series: A Star Is Born,Community Based Event,Arts/Culture,M.U.T.S,61,Young Adult;#Adults;#Adaptive;#Seniors;#General Public
Recreation,,06/21/2019 05:30:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Latin Dance Night,Local Event,Fitness,Dance,80,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public;#Tot
Recreation,,06/21/2019 08:00:00 PM,Bronx,Playground,Melrose Playground,Spider-Man: Into the Spider-Verse,Community Based Event,Mobile Unit,M.U.T.S,110,General Public
Recreation,"Make Music NY, ACF",06/21/2019 07:00:00 PM,Brooklyn,Park,McCarren Park,Summer Solstice,Community Based Event,Arts/Culture,Music,100,General Public
Recreation,,06/22/2019 08:00:00 PM,Bronx,Park,Van Cortlandt Park,Creed 2,Community Based Event,Mobile Unit,M.U.T.S,190,General Public
Recreation,Councilman Justin Branan,06/23/2019 08:30:00 PM,Brooklyn,Park,Owl's Head Park,ET,Community Based Event,Mobile Unit,M.U.T.S,300,General Public
Recreation,Public School 256 Queens,06/24/2019 11:00:00 AM,Queens,School,160 Beach 29th street,Public School 256 Field Day,Community Based Event,Mobile Unit,Play,48,Children;#Adults
Recreation,NYCDOE,06/25/2019 01:00:00 PM,Queens,School,109-20 Union Hall Street,PS 40 Field Day,Community Based Event,Mobile Unit,Play,38,Children;#Adults
Recreation,Councilman Cabrera,06/18/2018 08:30:00 PM,Bronx,Park,St. James Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,136,General Public
Recreation,,06/21/2019 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired By: Frida Kahlo,Agency Produced Event,Arts/Culture,,19,Young Adult;#Adults
Recreation,,06/21/2019 08:00:00 PM,Bronx,Park,Soundview Park,Spider-Man:Into the Spider-Verse,Community Based Event,Mobile Unit,M.U.T.S,45,General Public
Recreation,ABFF,06/12/2019 08:30:00 PM,Brooklyn,Playground,Crispus Attucks Playground,Web Series Wednesdays,Community Based Event,Mobile Unit,M.U.T.S,100,General Public
Recreation,,04/13/2019 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Easter Event,Agency Produced Event,Family Festival,,"1,132",Tot;#Children;#General Public
Recreation,,03/30/2019 10:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Find the SHE-Ro in You,Agency Produced Event,Fitness,Fitness,351,Children;#Young Adult;#Adults;#Teens;#General Public
