gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3509450549	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1094648915	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis cardinalis		SPECIES	Cardinalis cardinalis (Linnaeus, 1758)	Cardinalis cardinalis		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-03-14T00:00:00	14	3	2021	2490384	2490384	HUMAN_OBSERVATION	CLO	EBIRD	OBS1094648915				CC_BY_4_0		obsr2015186			2023-08-25T15:19:45.315Z		CONTINENT_DERIVED_FROM_COORDINATES
3509329126	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1089016001	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba livia		SPECIES	Columba livia J.F.Gmelin, 1789	Columba livia		US	Highbridge Park, New York US-NY 40.83262, -73.93950	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.83262	-73.9395							2021-03-06T00:00:00	6	3	2021	2495414	2495414	HUMAN_OBSERVATION	CLO	EBIRD	OBS1089016001				CC_BY_4_0		obsr763573			2023-08-25T15:48:30.131Z		CONTINENT_DERIVED_FROM_COORDINATES
3509097761	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1056617309	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocitta	Cyanocitta cristata		SPECIES	Cyanocitta cristata (Linnaeus, 1758)	Cyanocitta cristata		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-01-21T00:00:00	21	1	2021	2482593	2482593	HUMAN_OBSERVATION	CLO	EBIRD	OBS1056617309				CC_BY_4_0		obsr1709209			2023-08-25T15:19:33.565Z		CONTINENT_DERIVED_FROM_COORDINATES
3508926713	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1087350252	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Junco	Junco hyemalis		SPECIES	Junco hyemalis (Linnaeus, 1758)	Junco hyemalis		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-03-04T00:00:00	4	3	2021	9362842	9362842	HUMAN_OBSERVATION	CLO	EBIRD	OBS1087350252				CC_BY_4_0		obsr246289			2023-08-25T15:19:49.258Z		CONTINENT_DERIVED_FROM_COORDINATES
3508772685	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1064104513	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus delawarensis		SPECIES	Larus delawarensis Ord, 1815	Larus delawarensis		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-02-01T00:00:00	1	2	2021	2481134	2481134	HUMAN_OBSERVATION	CLO	EBIRD	OBS1064104513				CC_BY_4_0		obsr1709209			2023-08-25T15:47:08.508Z		CONTINENT_DERIVED_FROM_COORDINATES
3508608332	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1089016000	Animalia	Chordata	Aves	Piciformes	Picidae	Melanerpes	Melanerpes carolinus		SPECIES	Melanerpes carolinus (Linnaeus, 1758)	Melanerpes carolinus		US	Highbridge Park, New York US-NY 40.83262, -73.93950	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.83262	-73.9395							2021-03-06T00:00:00	6	3	2021	2478106	2478106	HUMAN_OBSERVATION	CLO	EBIRD	OBS1089016000				CC_BY_4_0		obsr763573			2023-08-25T15:45:24.417Z		CONTINENT_DERIVED_FROM_COORDINATES
3508483319	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1078956521	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	Poecile atricapillus		SPECIES	Poecile atricapillus (Linnaeus, 1766)	Poecile atricapillus		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-02-20T00:00:00	20	2	2021	2487805	2487805	HUMAN_OBSERVATION	CLO	EBIRD	OBS1078956521				CC_BY_4_0		obsr246289			2023-08-25T15:46:34.537Z		CONTINENT_DERIVED_FROM_COORDINATES
3508476609	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1094648924	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus migratorius		SPECIES	Turdus migratorius Linnaeus, 1766	Turdus migratorius		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-03-14T00:00:00	14	3	2021	9510564	9510564	HUMAN_OBSERVATION	CLO	EBIRD	OBS1094648924				CC_BY_4_0		obsr2015186			2023-08-25T15:45:27.120Z		CONTINENT_DERIVED_FROM_COORDINATES
3508220031	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1089016002	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	Poecile atricapillus		SPECIES	Poecile atricapillus (Linnaeus, 1766)	Poecile atricapillus		US	Highbridge Park, New York US-NY 40.83262, -73.93950	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.83262	-73.9395							2021-03-06T00:00:00	6	3	2021	2487805	2487805	HUMAN_OBSERVATION	CLO	EBIRD	OBS1089016002				CC_BY_4_0		obsr763573			2023-08-25T15:47:11.059Z		CONTINENT_DERIVED_FROM_COORDINATES
3508207925	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1078956514	Animalia	Chordata	Aves	Piciformes	Picidae	Dryobates	Dryobates pubescens		SPECIES	Dryobates pubescens (Linnaeus, 1766)	Dryobates pubescens		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-02-20T00:00:00	20	2	2021	9149595	9149595	HUMAN_OBSERVATION	CLO	EBIRD	OBS1078956514				CC_BY_4_0		obsr246289			2023-08-25T15:47:08.455Z		CONTINENT_DERIVED_FROM_COORDINATES
