Unit,Group Name/Partner,Date and Time,Borough,LocationType,Park,Event Name,EventType,Category,Classification,Attendance,Audience,acres,Attendance_acre
Urban Park Rangers,General Public,07/23/2020 02:30:00 PM,Manhattan,Park,Inwood Hill Park,Oyster Cage Viewing,Community Based Event,Nature,Summer 2020,15,General Public,196.398,0.07637552317233373
Recreation,FOSP,07/24/2020 10:00:00 AM,Bronx,Park,Soundview Park,Kid's Photography and Art in Nature,Agency Produced Event,Arts/Culture,Summer 2020,0,Children,205.31,0
Urban Park Rangers,General Public,07/24/2020 04:40:00 PM,Manhattan,Park,Central Park,Are you allowed to feed the birds?,Community Based Event,Nature,Summer 2020,3,General Public,842.6,0.0035604082601471635
Urban Park Rangers,General Public,07/24/2020 04:00:00 PM,Manhattan,Park,Central Park,Can I touch the Turtles?,Community Based Event,Nature,Summer 2020,7,General Public,842.6,0.008307619273676715
Urban Park Rangers,General Public,07/25/2020 12:00:00 PM,Manhattan,Park,Morningside Park,Turtle Population Survey,Community Based Event,Nature,Summer 2020,15,General Public,29.888,0.5018736616702355
Recreation,Arts Culture Fun,07/24/2020 06:30:00 PM,Bronx,Park,Soundview Park,Nature Painting,Agency Produced Event,Arts/Culture,Summer 2020,8,Adults;#Young Adult;#Teens;#Children,205.31,0.038965466854999756
Urban Park Rangers,General Public,07/26/2020 03:00:00 PM,Manhattan,Park,Morningside Park,Morningside Pond Turtle Census,Community Based Event,Nature,Summer 2020,45,General Public,29.888,1.5056209850107065
Recreation,Tasha Valentin,07/28/2020 12:00:00 PM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,0,Children,205.31,0
Recreation,NA,07/14/2018 06:00:00 PM,Manhattan,Park,Highbridge Park,Taikoza Concert,Community Based Event,Performance,Music,65,General Public,131,0.4961832061068702
Urban Park Rangers,General Public,07/25/2020 02:00:00 PM,Bronx,Park,Soundview Park,Animal Olympics,Agency Produced Event,Nature,Summer 2020,0,Children,205.31,0
Urban Park Rangers,General Public,07/25/2020 03:00:00 PM,Bronx,Park,Soundview Park,Animal Olympics,Agency Produced Event,Nature,Summer 2020,0,Children,205.31,0
Urban Park Rangers,General Public,07/29/2020 12:30:00 PM,Bronx,Park,Crotona Park,Lenape Story,Agency Produced Event,Nature,Summer 2020,6,Children,127.5,0.047058823529411764
Recreation,Giovanni Feliciano,07/23/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,9,Tot;#Children;#Teens,131,0.06870229007633588
Urban Park Rangers,General Public,07/30/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Marsh Madness,Community Based Event,Nature,Summer 2020,8,General Public,196.398,0.04073361235857799
Urban Park Rangers,General Public,07/30/2020 02:45:00 PM,Manhattan,Park,Inwood Hill Park,Marsh Madness,Community Based Event,Nature,Summer 2020,5,General Public,196.398,0.025458507724111245
Urban Park Rangers,General Public,07/30/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Marsh Madness,Community Based Event,Nature,Summer 2020,9,General Public,196.398,0.045825313903400236
Urban Park Rangers,General Public,07/30/2020 02:20:00 PM,Manhattan,Park,Inwood Hill Park,Marsh Madness,Community Based Event,Nature,Summer 2020,6,General Public,196.398,0.030550209268933492
Recreation,NA,07/31/2020 10:00:00 AM,Bronx,Park,Soundview Park,Photography and Art at Soundview Park,Agency Produced Event,Arts/Culture,Summer 2020,0,Children,205.31,0
Urban Park Rangers,General Public,07/31/2020 04:50:00 PM,Manhattan,Park,Central Park,Ichthyology: Fish Are More Than Food,Community Based Event,Nature,Summer 2020,6,General Public,842.6,0.007120816520294327
Urban Park Rangers,General Public,08/01/2020 12:00:00 PM,Manhattan,Park,Morningside Park,How I Learned to Stop Worrying and Love the Algae,Community Based Event,Nature,Summer 2020,7,General Public,29.888,0.23420770877944325
Urban Park Rangers,General Public,08/01/2020 10:45:00 AM,Bronx,Park,Soundview Park,Nature Journaling,Agency Produced Event,Nature,Summer 2020,0,Children,205.31,0
Urban Park Rangers,General Public,08/02/2020 03:00:00 PM,Manhattan,Park,Morningside Park,Morningside Trash Pick-Up,Community Based Event,Nature,Summer 2020,3,General Public,29.888,0.1003747323340471
Recreation,Tasha Valentino,08/03/2020 10:00:00 AM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,1,Children,205.31,0.0048706833568749695
Recreation,Tasha Valentino,08/03/2020 12:00:00 AM,Bronx,Park,Soundview Park,Qigong,Agency Produced Event,Fitness,Summer 2020,2,Adults,205.31,0.009741366713749939
Urban Park Rangers,General Public,08/05/2020 11:00:00 AM,Manhattan,Park,Inwood Hill Park,Fungus Amongus!,Community Based Event,Nature,Summer 2020,2,General Public,196.398,0.010183403089644497
Recreation,NA,05/26/2018 08:15:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,43,General Public,127.5,0.33725490196078434
Urban Park Rangers,General Public,08/05/2020 11:00:00 AM,Manhattan,Park,Inwood Hill Park,Mushroom Kingdom,Local Event,Nature,Summer 2020,2,General Public,196.398,0.010183403089644497
Recreation,"Arts, Culture, and Fun Mobile Van",08/05/2020 10:00:00 AM,Bronx,Park,Van Cortlandt Park,NA,Community Based Event,Arts/Culture,AC&F,11,Young Adult;#Adults,1146.43,0.009595003619933184
Recreation,Zuleika Diaz,08/06/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,8,Tot;#Children;#Teens;#Adults,131,0.061068702290076333
Recreation,Zuleika Diaz,07/28/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,2,Tot;#Teens,131,0.015267175572519083
Recreation,Zuleika Diaz,07/30/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,10,Tot;#Children;#Teens,131,0.07633587786259542
Recreation,NA,08/07/2020 10:00:00 AM,Bronx,Park,Soundview Park,Photography and Art at Soundview Park,Agency Produced Event,Arts/Culture,Summer 2020,0,Children,205.31,0
Urban Park Rangers,General Public,08/08/2020 12:00:00 PM,Bronx,Park,Crotona Park,Animal Olympics,Agency Produced Event,Nature,Summer 2020,0,Children,127.5,0
Urban Park Rangers,General Public,08/08/2020 12:00:00 PM,Manhattan,Park,Morningside Park,Turtles N' Trees,Local Event,Nature,Summer 2020,18,General Public,29.888,0.60224839400428265
Urban Park Rangers,General Public,08/09/2020 03:00:00 PM,Manhattan,Park,Morningside Park,Heron Watch,Local Event,Nature,Summer 2020,11,General Public,29.888,0.3680406852248394
Recreation,Tasha Valentino,08/10/2020 10:00:00 AM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,0,Children,205.31,0
Recreation,Tasha Valentino,08/10/2020 11:00:00 AM,Bronx,Park,Soundview Park,Qigong,Agency Produced Event,Fitness,Summer 2020,1,Adults,205.31,0.0048706833568749695
Media Education,NA,07/21/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Photo Scavenger Hunt,Local Event,Arts/Culture,NA,3,General Public,196.398,0.015275104634466746
Media Education,NA,07/23/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Nature Photography,Local Event,Arts/Culture,NA,1,General Public,196.398,0.005091701544822249
Media Education,NA,07/14/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Photo Scavenger Hunt,Local Event,Arts/Culture,NA,2,General Public,196.398,0.010183403089644497
Media Education,NA,07/16/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Nature Photography,Local Event,Arts/Culture,NA,1,General Public,196.398,0.005091701544822249
Media Education,NA,07/28/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Photo Scavenger Hunt,Local Event,Arts/Culture,NA,1,General Public,196.398,0.005091701544822249
Media Education,NA,08/10/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Nature Photography,Local Event,Arts/Culture,NA,3,General Public,196.398,0.015275104634466746
Recreation,NA,05/26/2018 08:15:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,31,General Public,127.5,0.24313725490196078
