scientific,common,year,id,geometry,park
Prunus serrulata 'Green leaf' , 'Green leaf' Japanese flowering cherry,2018,NA,"c(1828801.44143274, 2194379.11066746)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1828756.6156986, 2194473.8311723)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828558.94342159, 2193240.07346106)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828592.7885463, 2193284.12213768)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829046.28940406, 2196522.43076261)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1828759.32171039, 2193974.04487422)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828808.37730563, 2194427.34799277)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829135.56403626, 2196811.43857189)",Highbridge
Unknown , Unknown,2018,NA,"c(1828755.550147, 2193930.11090938)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829234.53617413, 2196284.19455549)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828881.20903684, 2194708.79052109)",Highbridge
Liriodendron tulipifera , tuliptree,2018,NA,"c(1829139.08387296, 2195352.2659714)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1828782.20945801, 2193994.43167195)",Highbridge
Morus , mulberry,2018,NA,"c(1828650.49784724, 2193445.91515044)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829220.0091703, 2196252.35222413)",Highbridge
Amelanchier , serviceberry,2018,NA,"c(1829313.47055623, 2196542.61139043)",Highbridge
Acer pseudoplatanus , sycamore maple,2018,NA,"c(1828856.65943468, 2194804.77787466)",Highbridge
Ulmus americana , American elm,2018,NA,"c(1829148.56490962, 2196741.80566813)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1828739.1338931, 2194471.70213483)",Highbridge
Prunus , Cherry,2018,NA,"c(1829156.48285368, 2196035.09498871)",Highbridge
Ginkgo biloba , maidenhair tree,2018,NA,"c(1828916.18974921, 2194831.72054195)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828747.98655462, 2194458.93999317)",Highbridge
Acer rubrum , red maple,2018,NA,"c(1829281.30836523, 2196632.45592335)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828778.34140486, 2194625.47354166)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828790.70680885, 2194441.42924097)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828924.08036728, 2194605.60286123)",Highbridge
Acer rubrum , red maple,2018,NA,"c(1829163.9654836, 2195904.19288693)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828982.04449194, 2194625.8940331)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829139.27017108, 2195343.2431252)",Highbridge
Corylus colurna , Turkish hazelnut,2018,NA,"c(1828834.20898081, 2194397.82522197)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829158.41297822, 2195964.36138655)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828900.82545167, 2194795.86780041)",Highbridge
Malus , apple,2018,NA,"c(1828870.49858566, 2194724.9191144)",Highbridge
Morus , mulberry,2018,NA,"c(1828775.08418802, 2193986.9965135)",Highbridge
Ulmus americana , American elm,2018,NA,"c(1829139.22312491, 2195902.81186588)",Highbridge
Pyrus calleryana , Callery pear,2018,NA,"c(1828767.10535667, 2193866.49981773)",Highbridge
Ginkgo biloba , maidenhair tree,2018,NA,"c(1828845.02451167, 2194877.07579996)",Highbridge
Celtis occidentalis , common hackberry,2018,NA,"c(1828863.28703366, 2194951.43579686)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828982.92632169, 2194630.85583008)",Highbridge
Styphnolobium japonicum , Japanese pagoda tree,2018,NA,"c(1829128.5294863, 2196523.45860635)",Highbridge
Morus , mulberry,2018,NA,"c(1828769.70905106, 2194002.33012588)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828900.16150918, 2194967.85105946)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828812.80523498, 2194544.64110074)",Highbridge
Acer pseudoplatanus , sycamore maple,2018,NA,"c(1829159.60109791, 2195958.64873277)",Highbridge
Pyrus calleryana , Callery pear,2018,NA,"c(1829128.08648939, 2195316.44333782)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828808.48003805, 2194456.34946504)",Highbridge
Pyrus calleryana , Callery pear,2018,NA,"c(1828760.7216436, 2193866.86288573)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828805.29559796, 2194691.73944023)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829299.35263149, 2195933.17249022)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828874.88572465, 2194991.16775681)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828756.84423123, 2194565.46628907)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828816.88898951, 2194363.19069038)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828819.38634167, 2194354.5980181)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829125.69115343, 2195865.61959691)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1829227.67203182, 2196286.21583709)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1829342.50886254, 2196144.10398899)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828844.8111535, 2194592.55639845)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829132.48512287, 2196798.24712486)",Highbridge
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1828764.79790857, 2193941.23859835)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828952.36961185, 2195208.47948377)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828821.12936855, 2194379.7312517)",Highbridge
Malus , apple,2018,NA,"c(1828917.98819465, 2194726.43284384)",Highbridge
Crataegus crus,galli var. inermis ,2018,NA,"c(1828777.80885304, 2194603.94676305)",Highbridge
Morus , mulberry,2018,NA,"c(1828845.18704515, 2194379.40626766)",Highbridge
Prunus , Cherry,2018,NA,"c(1829366.84745477, 2196308.99286173)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828919.68756124, 2194586.66080464)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828771.1475956, 2194458.94137652)",Highbridge
Chamaecyparis lawsoniana , Port Orford cedar,2018,NA,"c(1828906.33336094, 2194817.31057333)",Highbridge
Morus , mulberry,2018,NA,"c(1828898.4722961, 2194980.39763854)",Highbridge
Pyrus calleryana , Callery pear,2018,NA,"c(1828754.764789, 2193920.79693436)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828816.35198537, 2194542.83422698)",Highbridge
Cornus mas , Cornelian cherry,2018,NA,"c(1828743.57061396, 2194522.75429352)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828914.21267097, 2194696.46418454)",Highbridge
Acer saccharum , sugar maple,2018,NA,"c(1829329.9932018, 2196073.86754293)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828917.6043879, 2194580.12241013)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828865.62693362, 2194823.34079481)",Highbridge
Cornus mas , Cornelian cherry,2018,NA,"c(1828789.25331006, 2194421.63201003)",Highbridge
Prunus , Cherry,2018,NA,"c(1829155.21494197, 2196028.70985023)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828609.25874998, 2193334.87751332)",Highbridge
Prunus cerasifera , cherry plum,2018,NA,"c(1828606.1851806, 2193222.13638696)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828745.13061442, 2194534.66000148)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829128.51096608, 2195906.43376085)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828743.32826438, 2193767.27627881)",Highbridge
Crataegus , Hawthorn,2018,NA,"c(1828820.3937279, 2194349.33836268)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829180.49852121, 2196124.36801484)",Highbridge
Ginkgo biloba , maidenhair tree,2018,NA,"c(1828639.22920071, 2193481.42176203)",Highbridge
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1828956.52341716, 2195179.76426359)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829205.84190775, 2196172.14489484)",Highbridge
Pyrus calleryana , Callery pear,2018,NA,"c(1829129.17463887, 2195310.18946125)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828809.4079262, 2194425.39635693)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828781.27215598, 2194095.74286054)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828783.38490394, 2193931.17215677)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828874.27947371, 2194949.03076387)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1828742.41976163, 2194524.45048653)",Highbridge
Celtis occidentalis , common hackberry,2018,NA,"c(1828833.39289312, 2194414.79089026)",Highbridge
Quercus phellos , willow oak,2018,NA,"c(1829369.33292136, 2196269.15220464)",Highbridge
Prunus , Cherry,2018,NA,"c(1828638.81301066, 2193390.72103028)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829198.58562253, 2196135.18580886)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828822.10369739, 2194508.64782067)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828834.58332429, 2194834.09303807)",Highbridge
Prunus , Cherry,2018,NA,"c(1829170.63558244, 2196040.44361101)",Highbridge
Morus , mulberry,2018,NA,"c(1829202.07239324, 2196495.1327507)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829149.48026671, 2195901.18274693)",Highbridge
Prunus , Cherry,2018,NA,"c(1828662.43690757, 2193458.5373374)",Highbridge
Ulmus americana , American elm,2018,NA,"c(1829155.27623128, 2195841.98631909)",Highbridge
Prunus , Cherry,2018,NA,"c(1829364.13450217, 2196365.61165352)",Highbridge
Morus , mulberry,2018,NA,"c(1828911.8425886, 2194694.33678433)",Highbridge
Carpinus caroliniana , American hornbeam,2018,NA,"c(1829203.81963548, 2196481.04659776)",Highbridge
Cryptomeria japonica , Japanese cedar,2018,NA,"c(1828906.20778306, 2194856.0653309)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828803.51364518, 2194712.86796421)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829296.42723955, 2196575.26366488)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829132.29440641, 2196820.36507497)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828885.29523272, 2194704.02409008)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829139.45687426, 2195345.20673312)",Highbridge
Ulmus americana , American elm,2018,NA,"c(1829168.52452809, 2195890.05976115)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829207.95352052, 2196203.85196361)",Highbridge
Prunus , Cherry,2018,NA,"c(1829171.19746298, 2196059.5921512)",Highbridge
Prunus serrulata 'Green leaf' , 'Green leaf' Japanese flowering cherry,2018,NA,"c(1828803.88552604, 2194379.48339073)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828584.16130337, 2193322.76137563)",Highbridge
Betula pendula , European white birch,2018,NA,"c(1828719.45179561, 2194442.31663465)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828876.44942367, 2194833.3626637)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829267.83316818, 2196651.03662898)",Highbridge
Cornus mas , Cornelian cherry,2018,NA,"c(1828790.92905047, 2194429.18021023)",Highbridge
Ulmus pumila , Siberian elm,2018,NA,"c(1828731.39876819, 2194444.93338856)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828608.26143064, 2193327.3867359)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828874.96293684, 2194949.57498063)",Highbridge
Crataegus , Hawthorn,2018,NA,"c(1828792.81115351, 2194412.78779339)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828983.64204032, 2194633.13174535)",Highbridge
Celtis occidentalis , common hackberry,2018,NA,"c(1828778.88357045, 2193992.47296961)",Highbridge
Tilia tomentosa , silver linden,2018,NA,"c(1829146.57042, 2195921.31869164)",Highbridge
Picea pungens , blue spruce,2018,NA,"c(1828882.12896787, 2194825.38838463)",Highbridge
Malus , apple,2018,NA,"c(1828806.82274322, 2194728.62085549)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828814.65788606, 2194770.67053795)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829187.58866274, 2196098.38933658)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828922.02639595, 2194596.59763853)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828794.16912566, 2194119.53452697)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828794.36019133, 2194132.50224647)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829274.81580174, 2195838.92556603)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828789.91602015, 2194028.32693113)",Highbridge
Malus , apple,2018,NA,"c(1828879.78945243, 2194722.26633195)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828621.65832331, 2193270.71658327)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828746.87736744, 2194539.08910395)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829177.03660125, 2196075.90784644)",Highbridge
Prunus , Cherry,2018,NA,"c(1829362.04710707, 2196360.48066854)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828743.41581501, 2194526.20009243)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829129.28284522, 2195351.67493015)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828616.47017539, 2193287.2319364)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829318.72508593, 2196009.40993995)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828834.4366044, 2194867.08026192)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829296.96503146, 2195922.41930308)",Highbridge
Prunus , Cherry,2018,NA,"c(1829362.53482012, 2196321.1136901)",Highbridge
Chamaecyparis lawsoniana , Port Orford cedar,2018,NA,"c(1828892.34471408, 2194826.63798752)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828927.16319139, 2194704.35591773)",Highbridge
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1828748.52760065, 2193863.63426512)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829148.55500389, 2195901.51846726)",Highbridge
Cercis canadensis , eastern redbud,2018,NA,"c(1829188.92508094, 2196059.30369559)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829210.03008049, 2196206.63811429)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828793.75462343, 2194645.20365048)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828811.46939554, 2194755.62029104)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829047.61174118, 2196501.29229687)",Highbridge
Lagerstroemia , lagerstroemia,2018,NA,"c(1828833.16687157, 2194723.79303805)",Highbridge
Acer pseudoplatanus , sycamore maple,2018,NA,"c(1828923.17654471, 2194689.74989408)",Highbridge
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1828784.69578958, 2193948.7581996)",Highbridge
Prunus , Cherry,2018,NA,"c(1828757.95842402, 2193839.61093321)",Highbridge
Unknown , Unknown,2018,NA,"c(1828843.31124123, 2194803.19616882)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829320.09873663, 2196039.399871)",Highbridge
Chamaecyparis lawsoniana , Port Orford cedar,2018,NA,"c(1828907.01937969, 2194818.17664558)",Highbridge
Acer saccharum , sugar maple,2018,NA,"c(1829334.9301299, 2196091.8536478)",Highbridge
Ailanthus altissima , tree of heaven,2018,NA,"c(1828636.10351981, 2193369.92550697)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829150.9165367, 2196797.04780631)",Highbridge
Carpinus caroliniana , American hornbeam,2018,NA,"c(1829197.89455268, 2196475.15426885)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828786.21008557, 2194095.26619888)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828665.75554385, 2193462.52096899)",Highbridge
Prunus , Cherry,2018,NA,"c(1829363.95171452, 2196313.81365196)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829178.43071085, 2196085.82665679)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828862.40232341, 2194727.04720949)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829322.53557336, 2196050.17668712)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828918.59642532, 2194926.68476469)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828820.58473639, 2194345.66398292)",Highbridge
Ulmus americana , American elm,2018,NA,"c(1829144.22231979, 2195352.21291883)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1828758.87978722, 2194527.35118507)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828562.9845922, 2193253.538314)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828739.03886045, 2194510.43171502)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828669.18514052, 2193458.84025776)",Highbridge
Quercus coccinea , scarlet oak,2018,NA,"c(1828796.42935023, 2194028.58961131)",Highbridge
Morus , mulberry,2018,NA,"c(1828776.28551556, 2193989.81445171)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828931.318418, 2194648.51931485)",Highbridge
Acer rubrum , red maple,2018,NA,"c(1829148.05289454, 2195852.68538714)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828902.36375778, 2194693.79498333)",Highbridge
Morus , mulberry,2018,NA,"c(1829158.36257615, 2195853.24108022)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828630.96974374, 2193228.33682067)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828806.78588069, 2194113.74306434)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828742.74096729, 2194517.39214821)",Highbridge
Crataegus , Hawthorn,2018,NA,"c(1828756.17775129, 2194570.70192536)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828642.21966161, 2193370.77672727)",Highbridge
Crataegus , Hawthorn,2018,NA,"c(1828725.57242784, 2194453.94665546)",Highbridge
Pinus strobus , eastern white pine,2018,NA,"c(1828906.64184097, 2194860.00771358)",Highbridge
Metasequoia glyptostroboides , dawn redwood,2018,NA,"c(1829176.75000095, 2196030.89002594)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829311.70803487, 2195979.29487156)",Highbridge
Cornus mas , Cornelian cherry,2018,NA,"c(1828789.23238037, 2194423.29565139)",Highbridge
Morus , mulberry,2018,NA,"c(1828836.84025218, 2194311.61296507)",Highbridge
Unknown , Unknown,2018,NA,"c(1828797.8903297, 2194016.93258206)",Highbridge
Prunus , Cherry,2018,NA,"c(1829170.56316628, 2196052.45513712)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828851.94916831, 2194590.06755879)",Highbridge
Lagerstroemia , lagerstroemia,2018,NA,"c(1828839.10537881, 2194725.36559528)",Highbridge
Magnolia , magnolia,2018,NA,"c(1828790.50852604, 2194044.44641445)",Highbridge
Pyrus calleryana , Callery pear,2018,NA,"c(1828758.38278474, 2193959.36265252)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828809.70417999, 2194744.5871802)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828909.08447081, 2194561.6001231)",Highbridge
Acer , maple,2018,NA,"c(1829295.83553495, 2196588.08756499)",Highbridge
Prunus , Cherry,2018,NA,"c(1829157.46007664, 2196014.66497647)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829198.84228327, 2196158.34009416)",Highbridge
Cercis canadensis , eastern redbud,2018,NA,"c(1829306.23838529, 2196559.41045661)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828797.05128186, 2194686.37914397)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828573.75019266, 2193241.62239638)",Highbridge
Ulmus americana , American elm,2018,NA,"c(1828839.62770977, 2194403.26449542)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828773.10242865, 2193923.25806427)",Highbridge
Ailanthus altissima , tree of heaven,2018,NA,"c(1828914.31440369, 2194999.64812258)",Highbridge
Crataegus , Hawthorn,2018,NA,"c(1828733.66578743, 2194448.82831159)",Highbridge
Acer saccharum , sugar maple,2018,NA,"c(1828924.21983065, 2194863.52575636)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828897.58519958, 2194700.34216306)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828909.02533507, 2194906.33330655)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828858.59254726, 2194834.35419257)",Highbridge
Ailanthus altissima , tree of heaven,2018,NA,"c(1828820.05170398, 2194794.54113209)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828799.29991933, 2194693.37468972)",Highbridge
Cornus florida , flowering dogwood,2018,NA,"c(1829287.22452605, 2196615.82150331)",Highbridge
Cornus florida , flowering dogwood,2018,NA,"c(1828864.35978208, 2194707.21709752)",Highbridge
Syringa reticulata , Japanese tree lilac,2018,NA,"c(1829148.31405178, 2195953.78484679)",Highbridge
Amelanchier , serviceberry,2018,NA,"c(1829282.96857089, 2196634.22685394)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828918.60301947, 2194927.78336667)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828927.03259198, 2194612.63229654)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828851.70742002, 2194833.51542095)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829362.07811104, 2196343.18674954)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828615.09659017, 2193361.16233516)",Highbridge
Prunus , Cherry,2018,NA,"c(1829361.81826078, 2196351.99922308)",Highbridge
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1828767.72389886, 2193875.71264341)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828896.92944829, 2194976.57654628)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829289.44341128, 2196624.78632809)",Highbridge
Acer saccharum , sugar maple,2018,NA,"c(1828910.04797505, 2194863.29504973)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828747.87111103, 2194504.04234286)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828888.36337192, 2194588.42101386)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828894.85360883, 2194580.54275505)",Highbridge
Catalpa speciosa , northern catalpa,2018,NA,"c(1829319.10377634, 2196059.68675079)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829128.84580842, 2196824.41813463)",Highbridge
Unknown , Unknown,2018,NA,"c(1829144.1526086, 2195989.66345967)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829164.91922039, 2196528.36199617)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828887.48947628, 2194582.42719014)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828597.74091297, 2193262.19550754)",Highbridge
Parrotia persica , Persian ironwood,2018,NA,"c(1828917.86346626, 2194865.25246809)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828817.05944135, 2194536.28112477)",Highbridge
Prunus , Cherry,2018,NA,"c(1828915.105357, 2194840.61837739)",Highbridge
Platanus occidentalis , American sycamore,2018,NA,"c(1829098.98064247, 2196848.72594322)",Highbridge
Ulmus americana , American elm,2018,NA,"c(1829157.10268221, 2195865.87820309)",Highbridge
Prunus , Cherry,2018,NA,"c(1829365.99507001, 2196351.84534313)",Highbridge
Pinus strobus , eastern white pine,2018,NA,"c(1828902.88453424, 2194852.05159854)",Highbridge
Crataegus , Hawthorn,2018,NA,"c(1828853.93949555, 2194390.20237132)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829221.77187368, 2196243.30788708)",Highbridge
Celtis occidentalis , common hackberry,2018,NA,"c(1828835.84843601, 2194399.95493536)",Highbridge
Pyrus calleryana , Callery pear,2018,NA,"c(1828728.81428594, 2194457.53484552)",Highbridge
Cornus florida , flowering dogwood,2018,NA,"c(1829290.33321624, 2196615.78626546)",Highbridge
Malus ioensis , prairie crabapple,2018,NA,"c(1828840.68831456, 2194576.0514639)",Highbridge
Unknown , Unknown,2018,NA,"c(1829148.07637142, 2195288.95076439)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828783.85788804, 2194645.243165)",Highbridge
Gymnocladus dioicus , Kentucky coffeetree,2018,NA,"c(1828816.58993377, 2194785.57700831)",Highbridge
Unknown , Unknown,2018,NA,"c(1829305.47203322, 2195956.13310402)",Highbridge
Quercus rubra , northern red oak,2018,NA,"c(1828865.67273516, 2194708.06649725)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1828842.55082203, 2194830.80308081)",Highbridge
Lagerstroemia , lagerstroemia,2018,NA,"c(1828821.44240242, 2194717.45350852)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829327.71902801, 2196512.15065076)",Highbridge
Quercus velutina , black oak,2018,NA,"c(1828742.12015269, 2194465.38753864)",Highbridge
Quercus palustris , pin oak,2018,NA,"c(1829250.83758681, 2196406.29471822)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828920.67029077, 2194590.2238)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828899.85018422, 2194579.0187753)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1829237.64640956, 2196404.59071879)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828832.02055899, 2194461.90413602)",Highbridge
Acer saccharum , sugar maple,2018,NA,"c(1829332.53893952, 2196083.40594099)",Highbridge
Picea pungens , blue spruce,2018,NA,"c(1828898.06961113, 2194845.17646757)",Highbridge
Acer , maple,2018,NA,"c(1828758.41312591, 2193877.40038752)",Highbridge
Crataegus , Hawthorn,2018,NA,"c(1828825.21513357, 2194336.68776422)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1828759.11459946, 2193968.90355014)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828819.66763245, 2194524.59606149)",Highbridge
Unknown , Unknown,2018,NA,"c(1828908.05772894, 2194698.76205089)",Highbridge
Zelkova serrata , Japanese zelkova,2018,NA,"c(1829286.5999626, 2195880.2785878)",Highbridge
Liquidambar styraciflua , sweetgum,2018,NA,"c(1828793.38910951, 2194392.2433983)",Highbridge
Cornus florida , flowering dogwood,2018,NA,"c(1829183.94638773, 2196084.19940051)",Highbridge
Morus , mulberry,2018,NA,"c(1828892.03015275, 2194960.61081463)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1828605.90115451, 2193226.76423455)",Highbridge
Prunus serotina , black cherry,2018,NA,"c(1828842.79599556, 2194420.36636893)",Highbridge
Acer platanoides , Norway maple,2018,NA,"c(1829327.49139443, 2196512.59003515)",Highbridge
Ginkgo biloba , maidenhair tree,2018,NA,"c(1828854.58706645, 2194869.10213141)",Highbridge
Robinia pseudoacacia , black locust,2018,NA,"c(1828860.26396996, 2194567.82416075)",Highbridge
Platanus x acerifolia , London planetree,2018,NA,"c(1829143.86172937, 2196802.73740301)",Highbridge
