park,mean_ndvi,ndvi_bins,n,percent_ndvi_bin
PelhamBaySouth,0.6030235685554861,0.1,1672,0.6819618639747119
PelhamBaySouth,0.6030235685554861,0.15,1851,0.7549709391251147
PelhamBaySouth,0.6030235685554861,0.2,2204,0.8989497297848476
PelhamBaySouth,0.6030235685554861,0.25,3537,1.4426430100948302
PelhamBaySouth,0.6030235685554861,0.3,5320,2.1698786581013563
PelhamBaySouth,0.6030235685554861,0.35,8320,3.393494442744978
PelhamBaySouth,0.6030235685554861,0.4,10024,4.088508208422556
PelhamBaySouth,0.6030235685554861,0.45,12567,5.125726521872132
PelhamBaySouth,0.6030235685554861,0.5,15290,6.236361782400326
PelhamBaySouth,0.6030235685554861,0.55,18551,7.566432140307944
PelhamBaySouth,0.6030235685554861,0.6,29542,12.049352503313958
PelhamBaySouth,0.6030235685554861,0.65,23252,9.483838074844499
PelhamBaySouth,0.6030235685554861,0.7,27013,11.017844396859386
PelhamBaySouth,0.6030235685554861,0.75,26560,10.8330784133782
PelhamBaySouth,0.6030235685554861,0.8,26417,10.77475272764352
PelhamBaySouth,0.6030235685554861,0.85,17848,7.279698174773121
PelhamBaySouth,0.6030235685554861,0.9,7601,3.100234526358723
PelhamBaySouth,0.6030235685554861,0.95,3410,1.3908432752115836
PelhamBaySouth,0.6030235685554861,1,2000,0.8157438564290813
Soundview,0.6324056907025324,0.05,4434,1.9149542639475527
Soundview,0.6324056907025324,0.1,3882,1.6765567101137573
Soundview,0.6324056907025324,0.15,3039,1.3124821849654065
Soundview,0.6324056907025324,0.2,3072,1.3267342126402528
Soundview,0.6324056907025324,0.25,3977,1.7175852746322544
Soundview,0.6324056907025324,0.3,4590,1.9823274856831903
Soundview,0.6324056907025324,0.35,6673,2.8819327477045595
Soundview,0.6324056907025324,0.4,7873,3.4001882995171586
Soundview,0.6324056907025324,0.45,10846,4.684166429132873
Soundview,0.6324056907025324,0.5,13678,5.907249531410605
Soundview,0.6324056907025324,0.55,14265,6.160762872172268
Soundview,0.6324056907025324,0.6,18976,8.19534779266323
Soundview,0.6324056907025324,0.65,18174,7.848980332201809
Soundview,0.6324056907025324,0.7,21884,9.45125374655576
Soundview,0.6324056907025324,0.75,17872,7.718552684995637
Soundview,0.6324056907025324,0.8,16634,7.18388570737564
Soundview,0.6324056907025324,0.85,13757,5.9413680219049345
Soundview,0.6324056907025324,0.9,15657,6.761939312274882
Soundview,0.6324056907025324,0.95,10412,4.496730671227316
Soundview,0.6324056907025324,1,21851,9.437001718880914
VanCortlandt,0.7146134947212818,0.05,4459,0.694279010165839
VanCortlandt,0.7146134947212818,0.1,3833,0.596809025782835
VanCortlandt,0.7146134947212818,0.15,2835,0.44141758103165596
VanCortlandt,0.7146134947212818,0.2,2888,0.4496698321056164
VanCortlandt,0.7146134947212818,0.25,4225,0.6578445431600516
VanCortlandt,0.7146134947212818,0.3,5571,0.8674205798685556
VanCortlandt,0.7146134947212818,0.35,8748,1.362088535754824
VanCortlandt,0.7146134947212818,0.4,11371,1.7704971124906383
VanCortlandt,0.7146134947212818,0.45,17224,2.6818258961866817
VanCortlandt,0.7146134947212818,0.5,22712,3.536323139467714
VanCortlandt,0.7146134947212818,0.55,24308,3.784824888789239
VanCortlandt,0.7146134947212818,0.6,32656,5.08463228436323
VanCortlandt,0.7146134947212818,0.65,33557,5.224920552620556
VanCortlandt,0.7146134947212818,0.7,57119,8.893591114972542
VanCortlandt,0.7146134947212818,0.75,74464,11.594257056063926
VanCortlandt,0.7146134947212818,0.8,101876,15.862383592656432
VanCortlandt,0.7146134947212818,0.85,101266,15.76740485388066
VanCortlandt,0.7146134947212818,0.9,61647,9.598613621819576
VanCortlandt,0.7146134947212818,0.95,35018,5.452402417131051
VanCortlandt,0.7146134947212818,1,36472,5.67879436168838
