PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,YEAR,QUARTER
BRIDGE AND TUNNEL PARK,QUEENS,0.318,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
STOP & GO PLAYGROUND,BRONX,0.316,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
MACLAUGHLIN PLAYGROUND,BRONX,0.304,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
HARRY CHAPIN PLAYGROUND,BROOKLYN,0.3,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ANNADALE GREEN,STATEN ISLAND,0.3,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
WEEKSVILLE PLAYGROUND,BROOKLYN,0.295,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
DODGER PLAYGROUND,BROOKLYN,0.293,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
RODNEY PLAYGROUND NORTH,BROOKLYN,0.29,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
HANSBOROUGH RECREATION CENTER,MANHATTAN,0.29,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
A.R.R.O.W. FIELD HOUSE,QUEENS,0.29,BASKETBALL & REC CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ELIZABETH STROUD PLAYGROUND,BROOKLYN,0.29,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
PLAYGROUND 115,QUEENS,0.287,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
JENNIE JEROME PLAYGROUND,BRONX,0.287,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
MARINERS HARBOR PLAYGROUND,STATEN ISLAND,0.271,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
YOUTH VILLAGE,BRONX,0.27,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
BEANSTALK PLAYGROUND,BRONX,0.267,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
DESALVIO PLAYGROUND,MANHATTAN,0.266,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
DAN ROSS PLAYGROUND,BROOKLYN,0.256,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
DREAM STREET PARK,MANHATTAN,0.252,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
SIDNEY HILLMAN PLAYGROUND,MANHATTAN,0.245,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
SUNSHINE PLAYGROUND,MANHATTAN,0.24,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
RODNEY PARK CENTER,BROOKLYN,0.237,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
SORRENTINO RECREATION CENTER,QUEENS,0.231,RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ST. GREGORY'S PLAYGROUND,MANHATTAN,0.231,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
UMMA PARK,BROOKLYN,0.23,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
WILLIAM F MOORE PARK,QUEENS,0.23,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
MARY O'CONNOR PLAYGROUND,MANHATTAN,0.229,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
GENE GRAY PLAYGROUND,QUEENS,0.229,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
OGDEN PLIMPTON PLAYGROUND,BRONX,0.229,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
DOWNING STREET PLAYGROUND,MANHATTAN,0.223,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
PLAYGROUND THIRTY FIVE XXXV,QUEENS,0.218,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ROLF HENRY PLAYGROUND,BROOKLYN,0.213,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
P.S. 125 PLAYGROUND,BROOKLYN,0.208,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
TONY DAPOLITO RECREATION CENTER,MANHATTAN,0.208,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
DAVIDSON PLAYGROUND,BRONX,0.207,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ASTORIA HEALTH PLAYGROUND,QUEENS,0.207,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
MINETTA PLAYGROUND,MANHATTAN,0.206,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
CHIARANTANO PLAYGROUND,BROOKLYN,0.206,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
CORONA MAC PARK,QUEENS,0.205,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
THORPE FAMILY PLAYGROUND,BRONX,0.201,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
SUNNERS PLAYGROUND,BROOKLYN,0.197,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
TUDOR GROVE PLAYGROUND,MANHATTAN,0.192,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
RODNEY PLAYGROUND CENTER,BROOKLYN,0.189,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
SEABURY PARK,BRONX,0.186,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
PENN TRIANGLE,BROOKLYN,0.183,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
EAE J MITCHELL PARK,BRONX,0.183,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
METROPOLITAN RECREATION CENTER,BROOKLYN,0.181,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
RAMON APONTE PARK,MANHATTAN,0.174,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
BILL BOJANGLES ROBINSON PLAYGROUND,MANHATTAN,0.172,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
FIELD OF DREAMS PARK,BRONX,0.172,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
RECREATION CENTER 54,MANHATTAN,0.17,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
PEARL ST PLAYGROUND,MANHATTAN,0.162,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
LEWIS PLAYGROUND,BROOKLYN,0.161,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
NORTH PACIFIC PLAYGROUND,BROOKLYN,0.155,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
MORRIS MESA,BRONX,0.15,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
PEACE PARK,BRONX,0.141,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
DUKE PARK,BROOKLYN,0.137,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
SOBEL PLAYGROUND,BROOKLYN,0.135,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
CAPTAIN JACOB JOSEPH PLAYGROUND,MANHATTAN,0.135,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
GRAND CANAL COURT,MANHATTAN,0.134,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
LT. FEDERICO NARVAEZ TOT LOT,BROOKLYN,0.125,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
WEST 186TH STREET BASKETBALL COURT,MANHATTAN,0.123,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
SOPHIE IRENE LOEB,MANHATTAN,0.122,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
BARRETTO PARK,BRONX,0.12,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ABYSSINIAN TOT LOT,MANHATTAN,0.118,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ALEXANDER'S ALLEY,BRONX,0.11,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
EAST FLATBUSH CHILDREN'S PARK,BROOKLYN,0.106,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
CORONA HEALTH SANCTUARY,QUEENS,0.101,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
MOHEGAN TRIANGLE,BRONX,0.096,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
PLAYGROUND OF THE AMERICAS,MANHATTAN,0.079,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
PRIVATE WILLIAM GRAY PARK,QUEENS,0.069,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
ADRIENNE'S PLAYGROUND,MANHATTAN,0,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2022,q1
TOTAL,NA,NA,NA,0,3,47,21,7,35,1,114,2022,q1
PELHAM BAY PARK,BRONX,2771.747,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
VAN CORTLANDT PARK,BRONX,1146.43,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q1
ROCKAWAY BEACH AND BOARDWALK,QUEENS,1072.564,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q1
FRESHKILLS PARK,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FLUSHING MEADOWS CORONA PARK,QUEENS,897.69,ONE ACRE OR LARGER,0,0,3,0,0,3,2,8,2023,q1
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
MARINE PARK,BROOKLYN,798,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2023,q1
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BRONX PARK,BRONX,718.373,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2,2023,q1
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ALLEY POND PARK,QUEENS,635.514,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q1
PROSPECT PARK,BROOKLYN,526.25,ONE ACRE OR LARGER,0,0,3,0,0,0,0,3,2023,q1
FOREST PARK,QUEENS,506.86,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
GRAND CENTRAL PARKWAY,QUEENS,460.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FERRY POINT PARK,BRONX,413.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN,399.203,ONE ACRE OR LARGER,0,0,1,1,0,2,0,4,2023,q1
CUNNINGHAM PARK,QUEENS,358,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
RICHMOND PARKWAY,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CROSS ISLAND PARKWAY,QUEENS,326.895,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
GREAT KILLS PARK,STATEN ISLAND,315.094,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q1
WOLFE'S POND PARK,STATEN ISLAND,302.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
RANDALL'S ISLAND PARK,MANHATTAN,256.111,ONE ACRE OR LARGER,0,0,0,0,1,0,0,1,2023,q1
ROCKAWAY COMMUNITY PARK,QUEENS,255.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
KISSENA PARK,QUEENS,237.147,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
RIVERSIDE PARK,MANHATTAN,235.765,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2023,q1
HUTCHINSON RIVER PARKWAY,BRONX,229.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BLUE HERON PARK,STATEN ISLAND,217.45,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
DYKER BEACH PARK,BROOKLYN,216.655,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
WILLOWBROOK PARK,STATEN ISLAND,214.947,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2023,q1
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SILVER LAKE PARK,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BRONX RIVER PARKWAY,BRONX,205.647,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SOUNDVIEW PARK,BRONX,205.31,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BELT PARKWAY,QUEENS,202.647,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
WILLOWBROOK PARKWAY,STATEN ISLAND,198.481,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
INWOOD HILL PARK,MANHATTAN,196.398,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2023,q1
CLOVE LAKES PARK,STATEN ISLAND,193.423,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FORT WASHINGTON PARK,MANHATTAN,184.143,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
IDLEWILD PARK,QUEENS,180.85,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
WARDS ISLAND PARK,MANHATTAN,176.581,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.994,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SAW MILL CREEK MARSH,STATEN ISLAND,171.778,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BLOOD ROOT VALLEY,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
JAMAICA BAY PARK,QUEENS,149.54,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
KISSENA CORRIDOR PARK,QUEENS,146.81,ONE ACRE OR LARGER,0,0,1,1,0,1,0,3,2023,q1
HIGHLAND PARK,BROOKLYN/QUEENS,146.339,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ARDEN WOODS,STATEN ISLAND,145.864,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
RIVERDALE PARK,BRONX,144.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
OCEAN PARKWAY MALLS,BROOKLYN,140,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BLOOMINGDALE PARK,STATEN ISLAND,138.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
OCEAN BREEZE PARK,STATEN ISLAND,136.568,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CANARSIE PARK,BROOKLYN,132.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN,130.1,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2023,q1
CROTONA PARK,BRONX,127.5,ONE ACRE OR LARGER,0,0,4,0,0,0,0,4,2023,q1
PAERDEGAT BASIN PARK,BROOKLYN,118.795,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
HOOK CREEK PARK,QUEENS,111.163,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CRESCENT BEACH PARK,STATEN ISLAND,110.96,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CLEARVIEW PARK GOLF COURSE,QUEENS,110.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BAISLEY POND PARK,QUEENS,109.609,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
PELHAM PARKWAY,BRONX,108.91,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
PRALLS ISLAND,STATEN ISLAND,107.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
MARINERS MARSH PARK,STATEN ISLAND,107.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
DOUGLASTON PARK GOLF COURSE,QUEENS,104.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
LEMON CREEK PARK,STATEN ISLAND,104.545,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SPRING CREEK PARK,BROOKLYN/QUEENS,99.566,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
HIGH ROCK PARK,STATEN ISLAND,94.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
LONG POND PARK,STATEN ISLAND,91.948,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BROOKVILLE PARK,QUEENS,89.946,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ISLE OF MEADOWS,STATEN ISLAND,87.516,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CALVERT VAUX PARK,BROOKLYN,85.527,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
PUGSLEY CREEK PARK,BRONX,83.615,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
MOSHOLU PARKWAY,BRONX,80.936,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
MCGUIRE FIELDS,BROOKLYN,77.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FRESH CREEK NATURE PRESERVE,BROOKLYN,77.044,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FORT TRYON PARK,MANHATTAN,67.213,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
RIVERSIDE PARK SOUTH,MANHATTAN,66.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
EASTERN PARKWAY,BROOKLYN,65.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FOUR SPARROW MARSH,BROOKLYN,64.665,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FORT TOTTEN PARK,QUEENS,60.394,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ASTORIA PARK,QUEENS,59.956,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
LAURELTON PARKWAY,QUEENS,59.612,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
RED HOOK RECREATION AREA,BROOKLYN,58.503,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SHORE PARK AND PARKWAY,BROOKLYN,58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.921,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
JUNIPER VALLEY PARK,QUEENS,55.639,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2023,q1
LITTLE BAY PARK,QUEENS,55.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
POWELL'S COVE PARK,QUEENS,55.023,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
HENRY HUDSON PARKWAY,BRONX,54.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
HARLEM RIVER PARK,MANHATTAN,53.967,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
DUBOS POINT WILDLIFE SANCTUARY,QUEENS,53.298,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ROY WILKINS RECREATION CENTER,QUEENS,53.238,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q1
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BROOKLYN BOTANIC GARDEN,BROOKLYN,47.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
MEREDITH WOODS,STATEN ISLAND,47.521,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
QUEENS FARM PARK,QUEENS,47.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
EAST RIVER PARK,MANHATTAN,45.88,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q1
CROCHERON PARK,QUEENS,45.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
MACOMBS DAM PARK,BRONX,44.174,ONE ACRE OR LARGER,0,1,1,0,0,1,0,3,2023,q1
MANHATTAN BEACH PARK,BROOKLYN,42.941,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
UDALL'S PARK PRESERVE,QUEENS,42.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FAIRVIEW PARK,STATEN ISLAND,42.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BAYSWATER PARK,QUEENS,40.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
DEERE PARK,STATEN ISLAND,39.779,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
PARADE GROUND,BROOKLYN,39.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CLAREMONT PARK,BRONX,38.536,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2,2023,q1
BROAD CHANNEL WETLANDS,QUEENS,37.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
CONEY ISLAND BOAT BASIN,BROOKLYN,36.81,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BUNKER PONDS PARK,STATEN ISLAND,36.691,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SETON FALLS PARK,BRONX,35.771,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
MCCARREN PARK,BROOKLYN,35.713,ONE ACRE OR LARGER,0,0,3,0,0,0,0,3,2023,q1
ST. MARY'S PARK BRONX,BRONX,35.311,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2023,q1
SHOOTERS ISLAND,STATEN ISLAND,34.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
NORTH BROTHER ISLAND,BRONX,30.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
FORT GREENE PARK,BROOKLYN,30.168,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BATTERY PARK CITY,MANHATTAN,29.99,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q1
MORNINGSIDE PARK,MANHATTAN,29.888,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2,2023,q1
MACNEIL PARK,QUEENS,28.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ALLEY ATHLETIC PLAYGROUND,QUEENS,27.531,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
VERNAM BARBADOES PENINSULA,QUEENS,27.484,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
COLLEGE POINT FIELDS,QUEENS,26.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
KAISER PARK,BROOKLYN,26.257,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SUNSET PARK,BROOKLYN,24.498,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2,2023,q1
OWL'S HEAD PARK,BROOKLYN,24.218,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SPRINGFIELD PARK,QUEENS,23.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
RECREATIONAL AREA,MANHATTAN,23.093,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
KING FISHER PARK,STATEN ISLAND,23.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SIEDENBURG PARK,STATEN ISLAND,22.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ST. NICHOLAS PARK,MANHATTAN,22.74,ONE ACRE OR LARGER,0,0,2,3,0,1,0,6,2023,q1
SOUTH BROTHER ISLAND,BRONX,22.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
LOCUST POINT MARINA,BRONX,22.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BATTERY PARK,MANHATTAN,21.88,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
BROOKLYN BRIDGE PARK,BROOKLYN,21.185,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
ASSER LEVY PARK,BROOKLYN,21.039,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.907,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
WAVE HILL,BRONX,20.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q1
