PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,YEAR,QUARTER
MURRAY HILL PLAYGROUND,QUEENS,1.206,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ELEANOR ROOSEVELT PLAYGROUND,BROOKLYN,1.211,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
NELSON PLAYGROUND,BRONX,1.222,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ANNUNCIATION PARK,MANHATTAN,1.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
DR. RONALD MCNAIR PARK,BROOKLYN,1.361,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ADAM YAUCH PARK,BROOKLYN,1.363,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HAVEN AVENUE,MANHATTAN,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
WOODS PLAYGROUND,BROOKLYN,1.438,ONE ACRE OR LARGER,0,0,0,0,1,0,0,1,2023,q3
PLAYGROUND SIXTY TWO LXII,QUEENS,1.48,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
MAPLE GROVE PARK,QUEENS,1.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
JOHN HANCOCK PLAYGROUND,BROOKLYN,1.547,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HARMONY PARK,BROOKLYN,1.56,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
WILSON PLAYGROUND,BROOKLYN,1.721,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
MIDLAND MALLS,QUEENS,1.803,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HAROLD ICKES PLAYGROUND,BROOKLYN,1.816,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
FREDERICK DOUGLASS PLAYGROUND,MANHATTAN,1.945,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SAKURA PARK,MANHATTAN,2.067,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
BRIDGE PARK BROOKLYN,BROOKLYN,2.117,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
FOX PLAYGROUND BROOKLYN,BROOKLYN,2.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
MURRAY PLAYGROUND,QUEENS,2.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
GRACE PLAYGROUND,BROOKLYN,2.744,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ST. VARTAN PARK,MANHATTAN,2.759,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
PARK OF THE AMERICAS,QUEENS,3.076,ONE ACRE OR LARGER,0,0,0,4,0,0,0,4,2023,q3
JESSE OWENS PLAYGROUND,BROOKLYN,3.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
JUDGE MOSES WEINSTEIN PLAYGROUND,QUEENS,3.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SEWARD PARK,MANHATTAN,3.361,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2,2023,q3
NAUTILUS PLAYGROUND QUEENS,QUEENS,3.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
LOUIS PASTEUR PARK,QUEENS,3.673,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
WNYC TRANSMITTER PARK,BROOKLYN,6.611,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ABE STARK SKATING RINK,BROOKLYN,8.807,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ROCHDALE PARK,QUEENS,8.833,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
CAPTAIN TILLY PARK,QUEENS,9.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
BRYANT PARK,MANHATTAN,9.603,ONE ACRE OR LARGER,0,0,0,1,0,6,0,7,2023,q3
UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,9.934,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
JACKIE ROBINSON PARK MANHATTAN,MANHATTAN,12.772,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q3
SHERMAN CREEK,MANHATTAN,15.383,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
WAVE HILL,BRONX,20.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ST. MARY'S PARK BRONX,BRONX,35.311,ONE ACRE OR LARGER,0,0,6,0,0,1,0,7,2023,q3
POWELL'S COVE PARK,QUEENS,55.023,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ASTORIA PARK,QUEENS,59.956,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2,2023,q3
FORT TRYON PARK,MANHATTAN,67.213,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2023,q3
LEMON CREEK PARK,STATEN ISLAND,104.545,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
PROSPECT PARK,BROOKLYN,526.25,ONE ACRE OR LARGER,0,0,3,4,0,3,1,11,2023,q3
CHARLIE'S PLACE,BROOKLYN,1.26,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q3
EMERALD PLAYGROUND,QUEENS,1.265,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
LYONS SQUARE PLAYGROUND,BRONX,1.322,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ADMIRAL FARRAGUT PLAYGROUND,BRONX,1.359,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
PULASKI PLAYGROUND,BROOKLYN,1.416,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
MALL FORTY TWO XLII,QUEENS,1.429,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
RUSSELL SAGE PLAYGROUND,QUEENS,1.526,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
MAZZEI PLAYGROUND,BRONX,1.59,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
OCEAN HILL PLAYGROUND,BROOKLYN,1.595,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
NEHEMIAH PARK,BROOKLYN,1.648,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ALLEN MALL ONE,MANHATTAN,1.698,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
BUFANO PARK,BRONX,1.904,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ROBERTO CLEMENTE BALLFIELD,BROOKLYN,1.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SAUL WEPRIN PLAYGROUND,QUEENS,1.964,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
MOORE HOMESTEAD PLAYGROUND,QUEENS,1.978,ONE ACRE OR LARGER,0,0,0,3,0,1,0,4,2023,q3
CHALLENGE PLAYGROUND,QUEENS,2.035,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
LINNAEUS PARK,QUEENS,2.066,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
NORTH SHORE ESPLANADE,STATEN ISLAND,2.252,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
KOSCIUSZKO POOL,BROOKLYN,2.391,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
BIG BUSH PARK,QUEENS,2.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
MARGARET I. CARMAN GREEN - WEEPING BEECH,QUEENS,2.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
P.O. SERRANO PLAYGROUND,BRONX,2.618,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
JAMAICA PLAYGROUND,QUEENS,3.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SCARANGELLA PARK,BROOKLYN,3.214,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ST. ANDREW'S PLAYGROUND,BROOKLYN,3.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
CITY LINE PARK,BROOKLYN,3.552,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2023,q3
AMERSFORT PARK,BROOKLYN,3.557,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
COLUCCI PLAYGROUND,BRONX,4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ST. MICHAEL'S PLAYGROUND,QUEENS,5.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
DEVOE PARK,BRONX,5.44,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2,2023,q3
RALPH DEMARCO PARK,QUEENS,6.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SCHMUL PARK,STATEN ISLAND,7.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
PALMER INLET,BRONX,7.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
BUSHWICK INLET PARK,BROOKLYN,9.01,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2,2023,q3
ST. JOHN'S RECREATION CENTER,BROOKLYN,9.339,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q3
ROCKAWAY FREEWAY,QUEENS,9.404,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HUNTER'S POINT SOUTH PARK,QUEENS,10,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
TOMPKINS SQUARE PARK,MANHATTAN,10.502,ONE ACRE OR LARGER,0,0,1,1,0,4,0,6,2023,q3
BETSY HEAD PARK,BROOKLYN,10.555,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2023,q3
RICHMOND TERRACE WETLANDS,STATEN ISLAND,11.193,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
TUDOR PARK,QUEENS,13.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
VON BRIESEN PARK,STATEN ISLAND,13.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HARRIS PARK,BRONX,15.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SEABURY PARK,BRONX,0.186,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
P.S. 125 PLAYGROUND,BROOKLYN,0.208,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
MARY O'CONNOR PLAYGROUND,MANHATTAN,0.229,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
RODNEY PARK CENTER,BROOKLYN,0.237,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
BLEECKER PLAYGROUND,MANHATTAN,0.356,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
HORSESHOE PLAYGROUND,BRONX,0.432,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
ADMIRAL TRIANGLE,BROOKLYN,0.433,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
ANIBAL AVILES PLAYGROUND,MANHATTAN,0.517,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
ABIGAIL PLAYGROUND,BRONX,0.529,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
HARVARD PLAYGROUND,QUEENS,0.581,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
PETER DETMOLD PARK,MANHATTAN,0.588,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
EUGENE MCCABE FIELD,MANHATTAN,0.789,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
VLADECK PARK,MANHATTAN,0.789,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
HIGHBRIDGE PARK BRONX SIDE,BRONX,0.82,PLAYGROUND LESS THAN ONE ACRE,0,0,0,1,0,0,0,1,2023,q3
WILLOUGHBY PLAYGROUND,BROOKLYN,0.907,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
MARTIN LUTHER PLAYGROUND,BROOKLYN,0.913,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
