fid,acquisitio,acres,address,borough,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,fid_2,area_id,city,state,city_surve,category,grade,label,residentia,commercial,industrial,fill
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6584,2657,Manhattan,NY,1,Still Desirable,B,B8,1,0,0,#7cb5bd
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6585,2658,Manhattan,NY,1,Still Desirable,B,B9,1,0,0,#7cb5bd
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6590,2656,Manhattan,NY,1,Definitely Declining,C,C5,1,0,0,#ffff00
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6591,2659,Manhattan,NY,1,Definitely Declining,C,C6,1,0,0,#ffff00
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6611,2655,Manhattan,NY,1,Hazardous,D,D27,1,0,0,#d9838d
1430,1895-08-08 00:00:00.0000000,506.860000000000014,80-30 PARK LANE,Q,PARK,305405406409.000000000000000,293037.000000000000000,Q-16,Forest Park,100000041.000000000000000,Q015,8284BCBC-1FBC-4338-A70A-C5C99F5D2DE6,DPR,"Myrtle Ave, Union Tpke, Park Lane S",Part,Forest Park,,,69222.000000000000000,Q015,Q-16,T,Q-16,Q-16,F,75.000000000000000,F,Forest Park,Flagship Park,Flagship Park,http://www.nycgovparks.org/parks/Q015/,,F,11375113851141511168.000000000000000,6364,2730,Brooklyn,NY,1,Definitely Declining,C,C7,1,0,0,#ffff00
1430,1895-08-08 00:00:00.0000000,506.860000000000014,80-30 PARK LANE,Q,PARK,305405406409.000000000000000,293037.000000000000000,Q-16,Forest Park,100000041.000000000000000,Q015,8284BCBC-1FBC-4338-A70A-C5C99F5D2DE6,DPR,"Myrtle Ave, Union Tpke, Park Lane S",Part,Forest Park,,,69222.000000000000000,Q015,Q-16,T,Q-16,Q-16,F,75.000000000000000,F,Forest Park,Flagship Park,Flagship Park,http://www.nycgovparks.org/parks/Q015/,,F,11375113851141511168.000000000000000,6674,2511,Queens,NY,1,Still Desirable,B,B4,1,0,0,#7cb5bd
1430,1895-08-08 00:00:00.0000000,506.860000000000014,80-30 PARK LANE,Q,PARK,305405406409.000000000000000,293037.000000000000000,Q-16,Forest Park,100000041.000000000000000,Q015,8284BCBC-1FBC-4338-A70A-C5C99F5D2DE6,DPR,"Myrtle Ave, Union Tpke, Park Lane S",Part,Forest Park,,,69222.000000000000000,Q015,Q-16,T,Q-16,Q-16,F,75.000000000000000,F,Forest Park,Flagship Park,Flagship Park,http://www.nycgovparks.org/parks/Q015/,,F,11375113851141511168.000000000000000,6675,2512,Queens,NY,1,Still Desirable,B,B5,1,0,0,#7cb5bd
1430,1895-08-08 00:00:00.0000000,506.860000000000014,80-30 PARK LANE,Q,PARK,305405406409.000000000000000,293037.000000000000000,Q-16,Forest Park,100000041.000000000000000,Q015,8284BCBC-1FBC-4338-A70A-C5C99F5D2DE6,DPR,"Myrtle Ave, Union Tpke, Park Lane S",Part,Forest Park,,,69222.000000000000000,Q015,Q-16,T,Q-16,Q-16,F,75.000000000000000,F,Forest Park,Flagship Park,Flagship Park,http://www.nycgovparks.org/parks/Q015/,,F,11375113851141511168.000000000000000,6676,2504,Queens,NY,1,Still Desirable,B,B6,1,0,0,#7cb5bd
1430,1895-08-08 00:00:00.0000000,506.860000000000014,80-30 PARK LANE,Q,PARK,305405406409.000000000000000,293037.000000000000000,Q-16,Forest Park,100000041.000000000000000,Q015,8284BCBC-1FBC-4338-A70A-C5C99F5D2DE6,DPR,"Myrtle Ave, Union Tpke, Park Lane S",Part,Forest Park,,,69222.000000000000000,Q015,Q-16,T,Q-16,Q-16,F,75.000000000000000,F,Forest Park,Flagship Park,Flagship Park,http://www.nycgovparks.org/parks/Q015/,,F,11375113851141511168.000000000000000,6717,2450,Queens,NY,1,Definitely Declining,C,C35,1,0,0,#ffff00
